epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16183.6,0.81957,0.56894,0.92809,0.83232,0.77997,0.86104,0.63921,0.70711,0.47447,0.89627,0.0091882,0.0091882,0.0091882
43,16568.5,0.81557,0.56841,0.92927,0.82076,0.79561,0.86155,0.64202,0.70224,0.47006,0.89473,0.0091684,0.0091684,0.0091684
44,16953.2,0.80917,0.56312,0.92406,0.83425,0.78224,0.86538,0.64267,0.70153,0.4664,0.89415,0.0091486,0.0091486,0.0091486
45,17337.6,0.80926,0.55808,0.92322,0.83795,0.79624,0.86426,0.64623,0.69093,0.46374,0.88831,0.0091288,0.0091288,0.0091288
46,17721.9,0.79861,0.55473,0.92081,0.8312,0.79632,0.86884,0.65478,0.68808,0.45463,0.88758,0.009109,0.009109,0.009109
47,18106.7,0.80419,0.55629,0.92368,0.81325,0.81037,0.8657,0.64935,0.69005,0.4563,0.88711,0.0090892,0.0090892,0.0090892
48,18490.9,0.79755,0.54863,0.91982,0.83339,0.80099,0.87903,0.65715,0.6864,0.45266,0.88734,0.0090694,0.0090694,0.0090694
49,18875.1,0.79389,0.54697,0.91869,0.85557,0.79585,0.87653,0.65547,0.68548,0.44879,0.88589,0.0090496,0.0090496,0.0090496
50,19260,0.79803,0.55001,0.92104,0.83798,0.80935,0.87977,0.66189,0.68174,0.44644,0.88283,0.0090298,0.0090298,0.0090298
51,19644.9,0.79067,0.54159,0.91904,0.84395,0.79897,0.87629,0.65944,0.68145,0.4433,0.885,0.00901,0.00901,0.00901
52,20029.2,0.78646,0.53848,0.91658,0.86156,0.78666,0.87559,0.66298,0.67397,0.44057,0.88159,0.0089902,0.0089902,0.0089902
53,20414.6,0.78586,0.53566,0.9147,0.83139,0.81253,0.88012,0.66897,0.67274,0.43945,0.88323,0.0089704,0.0089704,0.0089704
54,20799.1,0.78403,0.53355,0.91534,0.82944,0.82776,0.8841,0.66767,0.67321,0.43873,0.88295,0.0089506,0.0089506,0.0089506
55,21183.5,0.77564,0.52805,0.91289,0.81931,0.81732,0.87975,0.67063,0.66858,0.43401,0.88023,0.0089308,0.0089308,0.0089308
56,21568,0.78267,0.53166,0.91367,0.84082,0.8145,0.88542,0.67499,0.66423,0.43045,0.87792,0.008911,0.008911,0.008911
57,21952.6,0.77219,0.52384,0.91121,0.86035,0.79806,0.88551,0.67906,0.66202,0.42488,0.87591,0.0088912,0.0088912,0.0088912
58,22337.2,0.77701,0.52752,0.91504,0.87706,0.79698,0.88557,0.67917,0.65792,0.42268,0.87404,0.0088714,0.0088714,0.0088714
59,22721.9,0.77232,0.52026,0.909,0.87962,0.79388,0.88867,0.68127,0.65526,0.42088,0.87417,0.0088516,0.0088516,0.0088516
60,23106.5,0.77353,0.52561,0.91181,0.85717,0.81225,0.89081,0.68376,0.65498,0.42146,0.87371,0.0088318,0.0088318,0.0088318
61,23490.9,0.76233,0.51647,0.90701,0.87554,0.80745,0.89211,0.68684,0.65348,0.41951,0.8738,0.008812,0.008812,0.008812
62,23875,0.76695,0.51763,0.90817,0.87067,0.80349,0.89284,0.6875,0.65132,0.41704,0.87338,0.0087922,0.0087922,0.0087922
63,24259.7,0.7627,0.5168,0.90924,0.89157,0.78766,0.89336,0.68993,0.64616,0.4143,0.87263,0.0087724,0.0087724,0.0087724
64,24644.5,0.76426,0.5153,0.91171,0.86398,0.81974,0.89611,0.69404,0.64339,0.41175,0.8707,0.0087526,0.0087526,0.0087526
65,25029.2,0.76306,0.51055,0.90742,0.86505,0.8179,0.89576,0.69614,0.64139,0.40932,0.86915,0.0087328,0.0087328,0.0087328
66,25413.6,0.75807,0.50337,0.90329,0.85648,0.83523,0.89611,0.69633,0.64045,0.40882,0.86762,0.008713,0.008713,0.008713
67,25797.9,0.75825,0.50698,0.90415,0.86542,0.83541,0.89749,0.69955,0.63737,0.40611,0.86713,0.0086932,0.0086932,0.0086932
68,26182,0.75732,0.50579,0.90272,0.881,0.81673,0.89966,0.7001,0.63692,0.4037,0.86694,0.0086734,0.0086734,0.0086734
69,26566.2,0.75243,0.50099,0.90385,0.88044,0.81679,0.90205,0.69939,0.6352,0.40056,0.86592,0.0086536,0.0086536,0.0086536
70,26950.4,0.75066,0.50118,0.90224,0.87254,0.82753,0.9056,0.70298,0.63256,0.39715,0.86559,0.0086338,0.0086338,0.0086338
71,27334.7,0.74758,0.4964,0.89892,0.88399,0.81992,0.9039,0.70404,0.63191,0.39578,0.8653,0.008614,0.008614,0.008614
72,27719.4,0.74267,0.4943,0.8999,0.87623,0.82453,0.90453,0.70458,0.62841,0.39333,0.86398,0.0085942,0.0085942,0.0085942
73,28103.7,0.73913,0.48959,0.89801,0.89342,0.81889,0.90697,0.70745,0.62698,0.39238,0.86291,0.0085744,0.0085744,0.0085744
74,28487.9,0.74267,0.49515,0.90106,0.8752,0.83501,0.90763,0.70776,0.62626,0.39014,0.86276,0.0085546,0.0085546,0.0085546
75,28872.2,0.74253,0.49171,0.89736,0.86769,0.84408,0.90805,0.70925,0.62652,0.38925,0.86219,0.0085348,0.0085348,0.0085348
76,29256.6,0.74118,0.48642,0.90016,0.87016,0.83802,0.90892,0.71104,0.62557,0.38858,0.86187,0.008515,0.008515,0.008515
77,29640.8,0.73755,0.48775,0.89623,0.87285,0.84044,0.91016,0.71304,0.62343,0.3872,0.86104,0.0084952,0.0084952,0.0084952
78,30025,0.7358,0.48119,0.89636,0.87089,0.85042,0.91054,0.71429,0.62187,0.38501,0.86048,0.0084754,0.0084754,0.0084754
79,30409.3,0.73105,0.48087,0.89211,0.87076,0.84339,0.91109,0.71571,0.62053,0.38333,0.85993,0.0084556,0.0084556,0.0084556
80,30793.5,0.72297,0.47424,0.88736,0.86177,0.85515,0.91452,0.71858,0.61794,0.38219,0.85881,0.0084358,0.0084358,0.0084358
81,31177.7,0.72905,0.47898,0.89324,0.8748,0.84554,0.91521,0.7218,0.61657,0.38048,0.85816,0.008416,0.008416,0.008416
82,31562,0.72395,0.4737,0.8925,0.86537,0.85651,0.91694,0.72313,0.61554,0.37891,0.85766,0.0083962,0.0083962,0.0083962
83,31946.5,0.72638,0.47622,0.8941,0.87058,0.84972,0.91718,0.72347,0.61405,0.37769,0.85732,0.0083764,0.0083764,0.0083764
84,32330.7,0.72367,0.47516,0.89227,0.86881,0.85142,0.91744,0.72473,0.6113,0.37586,0.85641,0.0083566,0.0083566,0.0083566
85,32715.1,0.72577,0.47609,0.8937,0.87251,0.84809,0.92064,0.72693,0.60979,0.37446,0.85613,0.0083368,0.0083368,0.0083368
86,33099.4,0.72048,0.47299,0.89217,0.89007,0.83436,0.9209,0.72953,0.60928,0.37388,0.85628,0.008317,0.008317,0.008317
87,33484.3,0.72407,0.47413,0.89157,0.89273,0.8348,0.92106,0.73038,0.60809,0.37261,0.85609,0.0082972,0.0082972,0.0082972
88,33869.2,0.71868,0.46785,0.8886,0.88149,0.84598,0.92248,0.73133,0.6067,0.3714,0.85543,0.0082774,0.0082774,0.0082774
89,34253.6,0.71362,0.46389,0.8866,0.88281,0.8492,0.92149,0.73181,0.60603,0.36952,0.85511,0.0082576,0.0082576,0.0082576
90,34637.9,0.71406,0.46852,0.88923,0.88844,0.8485,0.92371,0.73474,0.60561,0.36842,0.85491,0.0082378,0.0082378,0.0082378
91,35022.6,0.71768,0.46604,0.89045,0.88953,0.85357,0.9243,0.73573,0.6043,0.36686,0.85447,0.008218,0.008218,0.008218
92,35407.5,0.71161,0.46397,0.8882,0.89424,0.85114,0.92446,0.73685,0.60358,0.36577,0.85395,0.0081982,0.0081982,0.0081982
93,35792.6,0.7044,0.45821,0.8841,0.89386,0.85243,0.9252,0.7379,0.60313,0.36489,0.85348,0.0081784,0.0081784,0.0081784
94,36177.7,0.70509,0.45805,0.88561,0.89593,0.85066,0.9247,0.7381,0.6021,0.36368,0.8533,0.0081586,0.0081586,0.0081586
95,36562.8,0.70426,0.45623,0.88623,0.90229,0.84246,0.92477,0.73826,0.60052,0.36244,0.85256,0.0081388,0.0081388,0.0081388
96,36947.9,0.70802,0.45975,0.88763,0.90437,0.84075,0.92449,0.73935,0.59924,0.36159,0.85225,0.008119,0.008119,0.008119
97,37333.1,0.70468,0.45848,0.88458,0.90511,0.83711,0.92531,0.74096,0.59826,0.36067,0.85175,0.0080992,0.0080992,0.0080992
98,37718.1,0.70819,0.45702,0.88369,0.90828,0.83848,0.92608,0.74201,0.59689,0.35946,0.85133,0.0080794,0.0080794,0.0080794
99,38104.2,0.69933,0.45148,0.88357,0.91221,0.83536,0.92668,0.74268,0.59559,0.35867,0.85086,0.0080596,0.0080596,0.0080596
100,38490.2,0.69735,0.45154,0.8846,0.91185,0.83547,0.92602,0.74402,0.59403,0.3577,0.85044,0.0080398,0.0080398,0.0080398
101,38876.5,0.6977,0.45159,0.88276,0.91337,0.83645,0.92663,0.74467,0.59294,0.35658,0.85006,0.00802,0.00802,0.00802
102,39262.7,0.69579,0.45077,0.88178,0.90509,0.84022,0.92727,0.74572,0.59193,0.35552,0.8498,0.0080002,0.0080002,0.0080002
103,39649.2,0.69303,0.44587,0.88125,0.90537,0.84309,0.92823,0.74634,0.59099,0.35429,0.84936,0.0079804,0.0079804,0.0079804
104,40035.6,0.69395,0.44654,0.88163,0.90756,0.84241,0.92876,0.74717,0.59039,0.35368,0.84904,0.0079606,0.0079606,0.0079606
105,386.399,0.73142,0.58676,0.90971,0.89499,0.85279,0.92752,0.74348,0.5962,0.35815,0.85088,0.0079408,0.0079408,0.0079408
106,773.827,0.70921,0.47062,0.89069,0.89655,0.84843,0.92487,0.73771,0.6025,0.36445,0.85329,0.007921,0.007921,0.007921
107,1161.46,0.70707,0.46608,0.88739,0.8947,0.84665,0.92204,0.73495,0.60564,0.36896,0.85423,0.0079012,0.0079012,0.0079012
108,1548.97,0.70609,0.46428,0.88505,0.89001,0.8467,0.92081,0.7332,0.60701,0.3723,0.85466,0.0078814,0.0078814,0.0078814
109,1936.86,0.71154,0.46511,0.8875,0.89013,0.84486,0.9202,0.73259,0.60787,0.37382,0.8548,0.0078616,0.0078616,0.0078616
110,2321.77,0.70303,0.46092,0.88639,0.89303,0.84436,0.92013,0.73151,0.6078,0.37411,0.85482,0.0078418,0.0078418,0.0078418
111,2707.06,0.70352,0.45981,0.88433,0.89289,0.84428,0.91963,0.7299,0.60757,0.3741,0.85472,0.007822,0.007822,0.007822
112,3091.95,0.70214,0.45748,0.88531,0.8945,0.84308,0.91992,0.73053,0.60725,0.37405,0.85462,0.0078022,0.0078022,0.0078022
113,3476.74,0.6959,0.45227,0.88307,0.89493,0.84272,0.92027,0.7316,0.6067,0.37322,0.85445,0.0077824,0.0077824,0.0077824
114,3861.64,0.69783,0.4527,0.88277,0.89267,0.84705,0.92108,0.73208,0.60609,0.37239,0.85426,0.0077626,0.0077626,0.0077626
115,4247.09,0.69004,0.44763,0.88183,0.89561,0.84348,0.92152,0.73319,0.60536,0.37114,0.85406,0.0077428,0.0077428,0.0077428
116,4635.08,0.68786,0.44653,0.87909,0.89118,0.84886,0.92114,0.73433,0.6046,0.37008,0.85379,0.007723,0.007723,0.007723
117,5023.26,0.6878,0.44581,0.88043,0.89028,0.84683,0.92138,0.73546,0.60398,0.36909,0.85349,0.0077032,0.0077032,0.0077032
118,5412.84,0.6866,0.44688,0.88044,0.89224,0.84619,0.92161,0.73633,0.60327,0.36827,0.85324,0.0076834,0.0076834,0.0076834
119,5801.34,0.68874,0.44461,0.88075,0.88928,0.84988,0.92208,0.73714,0.60239,0.36726,0.85301,0.0076636,0.0076636,0.0076636
120,6189.91,0.69604,0.4489,0.88375,0.89028,0.85084,0.92327,0.73842,0.6017,0.36648,0.85294,0.0076438,0.0076438,0.0076438
121,6578.38,0.68917,0.44393,0.88201,0.88947,0.85218,0.92341,0.73932,0.60075,0.36554,0.85262,0.007624,0.007624,0.007624
122,6963.77,0.68122,0.44195,0.87949,0.88861,0.852,0.92398,0.73961,0.59978,0.36459,0.8523,0.0076042,0.0076042,0.0076042
123,7348.41,0.6848,0.44171,0.87942,0.89231,0.85023,0.92427,0.74018,0.59862,0.36349,0.85181,0.0075844,0.0075844,0.0075844
124,7733.33,0.68163,0.43924,0.8786,0.8954,0.8492,0.92554,0.74122,0.59774,0.36251,0.85153,0.0075646,0.0075646,0.0075646
125,8118.04,0.6799,0.43459,0.87724,0.8874,0.85716,0.92599,0.74141,0.59694,0.3617,0.85117,0.0075448,0.0075448,0.0075448
126,8502.58,0.68107,0.43941,0.87618,0.88524,0.85998,0.92659,0.74275,0.596,0.36064,0.85085,0.007525,0.007525,0.007525
127,8887.19,0.68027,0.43815,0.87758,0.88503,0.86144,0.92693,0.74327,0.59522,0.35967,0.85059,0.0075052,0.0075052,0.0075052
128,9272.08,0.67209,0.4315,0.87654,0.88025,0.86386,0.92717,0.74295,0.59451,0.35901,0.85035,0.0074854,0.0074854,0.0074854
129,9657.2,0.67391,0.42981,0.87472,0.88343,0.86196,0.92756,0.74366,0.59378,0.35817,0.85011,0.0074656,0.0074656,0.0074656
130,10042.1,0.67374,0.42951,0.87651,0.89022,0.85761,0.92787,0.74524,0.59301,0.35737,0.84988,0.0074458,0.0074458,0.0074458
131,10427.2,0.67747,0.43292,0.87731,0.89306,0.85308,0.92812,0.74579,0.59216,0.35649,0.84962,0.007426,0.007426,0.007426
132,10812.1,0.67021,0.42779,0.8748,0.8955,0.85029,0.9286,0.74685,0.59123,0.35578,0.84928,0.0074062,0.0074062,0.0074062
133,11196.7,0.66979,0.42662,0.87524,0.89615,0.85037,0.93006,0.74745,0.59035,0.35498,0.84904,0.0073864,0.0073864,0.0073864
134,11582.1,0.66781,0.42712,0.87408,0.90889,0.842,0.93035,0.74781,0.58956,0.35429,0.84878,0.0073666,0.0073666,0.0073666
135,11967,0.66602,0.4252,0.8724,0.90798,0.84195,0.93029,0.74819,0.58881,0.35385,0.84848,0.0073468,0.0073468,0.0073468
136,12351.7,0.66559,0.42408,0.87303,0.90685,0.84321,0.93074,0.74899,0.58796,0.35303,0.84812,0.007327,0.007327,0.007327
137,12736.4,0.66307,0.41895,0.87158,0.90857,0.84264,0.93097,0.74888,0.58718,0.35235,0.8479,0.0073072,0.0073072,0.0073072
138,13121.1,0.66371,0.42299,0.87308,0.89637,0.85476,0.93119,0.75039,0.58655,0.35154,0.8477,0.0072874,0.0072874,0.0072874
139,13505.9,0.6629,0.42379,0.87229,0.89571,0.85646,0.93131,0.75109,0.58586,0.35088,0.84752,0.0072676,0.0072676,0.0072676
140,13891,0.65848,0.41483,0.86919,0.90765,0.8478,0.93084,0.75162,0.58523,0.35017,0.84736,0.0072478,0.0072478,0.0072478
141,14276,0.66071,0.41767,0.87055,0.90827,0.84763,0.93109,0.75217,0.5846,0.34951,0.84716,0.007228,0.007228,0.007228
142,14661.4,0.66038,0.42012,0.87236,0.90543,0.84941,0.93149,0.75247,0.58387,0.34872,0.84693,0.0072082,0.0072082,0.0072082
143,15046.7,0.65879,0.41369,0.87189,0.90665,0.84895,0.93191,0.75361,0.58335,0.34812,0.84678,0.0071884,0.0071884,0.0071884
144,15431.8,0.65763,0.4142,0.87029,0.90938,0.8501,0.93232,0.75438,0.5828,0.34753,0.84662,0.0071686,0.0071686,0.0071686
145,15816.6,0.65832,0.41743,0.86879,0.90895,0.85124,0.93255,0.75489,0.58221,0.34695,0.84645,0.0071488,0.0071488,0.0071488
146,16201.6,0.65498,0.4152,0.86946,0.90976,0.8517,0.93282,0.75534,0.58155,0.34638,0.84629,0.007129,0.007129,0.007129
147,16586.6,0.65159,0.41404,0.86907,0.91064,0.85259,0.93289,0.75555,0.5809,0.34569,0.8461,0.0071092,0.0071092,0.0071092
