epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13351.3,0.83973,0.59476,0.94308,0.81127,0.75736,0.84294,0.6178,0.72859,0.50162,0.90559,0.005941,0.005941,0.005941
43,13758.6,0.82708,0.58204,0.93735,0.81725,0.75552,0.83832,0.61422,0.7254,0.49432,0.90572,0.005842,0.005842,0.005842
44,14165.8,0.82183,0.58099,0.93344,0.79604,0.77154,0.84407,0.62588,0.72459,0.49801,0.90474,0.005743,0.005743,0.005743
45,14573.1,0.82755,0.58104,0.9392,0.79854,0.77038,0.84684,0.62966,0.71898,0.49133,0.90278,0.005644,0.005644,0.005644
46,14980.6,0.81678,0.57582,0.93289,0.81829,0.7694,0.84857,0.63229,0.71598,0.48432,0.9009,0.005545,0.005545,0.005545
47,15388,0.82459,0.58121,0.93517,0.81601,0.76555,0.84838,0.62827,0.71634,0.48375,0.9018,0.005446,0.005446,0.005446
48,15795.6,0.81726,0.57251,0.93346,0.81375,0.76974,0.84633,0.63468,0.71272,0.48101,0.90003,0.005347,0.005347,0.005347
49,16203,0.80803,0.56458,0.92827,0.82732,0.76546,0.85056,0.6376,0.70499,0.47702,0.89656,0.005248,0.005248,0.005248
50,16610.3,0.80152,0.55766,0.92627,0.80605,0.78192,0.85184,0.64041,0.70289,0.47428,0.89824,0.005149,0.005149,0.005149
51,17017.8,0.8006,0.55851,0.92441,0.8317,0.7661,0.85342,0.6404,0.70201,0.47103,0.89587,0.00505,0.00505,0.00505
52,17425.2,0.80527,0.5555,0.92355,0.8246,0.77408,0.85764,0.64508,0.69991,0.46527,0.89445,0.004951,0.004951,0.004951
53,17832.6,0.78924,0.54408,0.92272,0.83963,0.7785,0.86073,0.646,0.69917,0.46498,0.89484,0.004852,0.004852,0.004852
54,18239.8,0.78958,0.54755,0.92263,0.84467,0.76817,0.8632,0.64878,0.69783,0.46147,0.89388,0.004753,0.004753,0.004753
55,18647.3,0.78878,0.54102,0.91998,0.82503,0.78934,0.86546,0.65243,0.69377,0.45629,0.89233,0.004654,0.004654,0.004654
56,19055.1,0.78655,0.53992,0.9215,0.85476,0.77191,0.87112,0.65856,0.68577,0.45188,0.88818,0.004555,0.004555,0.004555
57,19462.6,0.78025,0.5353,0.91697,0.85389,0.77529,0.87017,0.65919,0.68593,0.45001,0.88836,0.004456,0.004456,0.004456
58,19870.1,0.77129,0.52241,0.91322,0.86379,0.75928,0.86695,0.65808,0.68462,0.45009,0.88789,0.004357,0.004357,0.004357
59,20277.5,0.77527,0.53116,0.9144,0.83702,0.78231,0.86408,0.65706,0.68139,0.44972,0.88761,0.004258,0.004258,0.004258
60,20684.8,0.76961,0.52522,0.91389,0.84521,0.78344,0.8652,0.65945,0.68232,0.4453,0.88769,0.004159,0.004159,0.004159
61,21092,0.76787,0.52141,0.9094,0.85132,0.78624,0.87037,0.66112,0.67992,0.44306,0.88576,0.00406,0.00406,0.00406
62,21499.5,0.76582,0.51603,0.91019,0.84933,0.78233,0.87173,0.66483,0.67831,0.43979,0.88453,0.003961,0.003961,0.003961
63,21907.2,0.76143,0.51299,0.9108,0.8751,0.77875,0.87746,0.6696,0.67489,0.43673,0.88383,0.003862,0.003862,0.003862
64,22315,0.7558,0.51211,0.90718,0.86432,0.79603,0.88153,0.67443,0.67438,0.43537,0.88329,0.003763,0.003763,0.003763
65,22722.8,0.75412,0.50679,0.90428,0.84981,0.80445,0.88315,0.67593,0.67212,0.43206,0.88209,0.003664,0.003664,0.003664
66,23130.5,0.75339,0.50507,0.90605,0.84474,0.81071,0.88319,0.67922,0.66912,0.42797,0.88058,0.003565,0.003565,0.003565
67,23538.3,0.74803,0.50177,0.90686,0.84922,0.80491,0.87986,0.67935,0.66824,0.42852,0.87998,0.003466,0.003466,0.003466
68,23946.2,0.74712,0.49913,0.90516,0.84896,0.80548,0.87995,0.68045,0.66516,0.42612,0.87922,0.003367,0.003367,0.003367
69,24353.7,0.74185,0.4974,0.90235,0.849,0.81356,0.88231,0.68278,0.66351,0.42476,0.87863,0.003268,0.003268,0.003268
70,24761.4,0.74274,0.50229,0.90336,0.85441,0.80884,0.88068,0.68394,0.66301,0.42312,0.87823,0.003169,0.003169,0.003169
71,25169.5,0.73725,0.48622,0.90042,0.85717,0.8074,0.88331,0.68542,0.66094,0.42061,0.87754,0.00307,0.00307,0.00307
72,25578.3,0.736,0.49028,0.90188,0.85957,0.81379,0.88645,0.68763,0.65984,0.41867,0.87754,0.002971,0.002971,0.002971
73,25987.5,0.73371,0.48455,0.89855,0.86032,0.81024,0.88746,0.68854,0.65757,0.41657,0.87666,0.002872,0.002872,0.002872
74,26396.9,0.72101,0.47845,0.8949,0.85848,0.81607,0.88815,0.68926,0.65467,0.41429,0.87513,0.002773,0.002773,0.002773
75,26806.6,0.72513,0.4822,0.89515,0.86954,0.81006,0.88985,0.69202,0.65353,0.41239,0.87458,0.002674,0.002674,0.002674
76,27216.8,0.72093,0.47536,0.89451,0.86835,0.8114,0.88883,0.6924,0.65257,0.41076,0.87389,0.002575,0.002575,0.002575
77,27626.7,0.71984,0.47183,0.89188,0.86978,0.81066,0.89141,0.69481,0.65103,0.40867,0.87348,0.002476,0.002476,0.002476
78,28036.9,0.71145,0.47101,0.89267,0.87536,0.81328,0.89121,0.69587,0.64866,0.40677,0.87247,0.002377,0.002377,0.002377
79,28447.5,0.71394,0.46667,0.89316,0.87115,0.8126,0.89169,0.69583,0.64798,0.4059,0.87226,0.002278,0.002278,0.002278
